rank,concept,status,user_loss,why_agent,primary_partners,load_bearing_native_loop,judge_proof,conservative_first_slot_cap_usd,user_loss_agent_15,sponsor_causality_20,replay_receipt_20,feasibility_access_20,demo_legibility_10,novelty_10,adoption_wedge_5,score_100,evidence_basis,main_risk,kill_condition
1,"DataContract Sentinel","NARROW_PRIMARY_RESEARCH_ONLY","Agents act on stale, partial, or schema-mismatched blockchain data.","An agent translates an intent into a typed data contract and repairs query composition; a deterministic validator alone authorizes the result.","The Graph","Natural-language requirement -> standardized data contract -> live Graph query -> freshness/completeness/invariant validation -> receipt or refusal","Stale endpoint fails; live query passes; block, endpoint, schema, query, and contract hashes are bound into the receipt",2500,14,18,18,19,9,7,4,89,"Graph Tooling and Composable rubrics; RangeSeeker and Agentica rows in winner register","One-prompt Graph tooling is already a sponsor-suggested direction","Stop if core data is mocked or a live one-prompt query/deployment and broken-schema refusal cannot replay by H3 after H0."
2,"AquaGuard VM","NARROW_HIGH_RISK_RESEARCH_ONLY","Shared liquidity lets individually safe strategies create unsafe aggregate exposure.","An agent monitors cross-protocol exposure and proposes bounded position changes; deterministic SwapVM policy retains authority.","1inch; The Graph; 0G","Graph standardized live data -> 0G verified proposal -> deterministic exposure checks -> Aqua/SwapVM token movement","Before/after exposure; rejected over-cap instruction; official-contract tx/test trace; Graph query; 0G proof",8000,14,20,19,15,9,8,3,88,"1inch Aqua rubric; Aqua Outcome Market, Cleverly Using Money, and Aqua0 rows","SwapVM/Aqua complexity and three live dependencies","Cut if official Aqua token movement plus one refusal cannot be proven by H3/H18 gates after H0."
3,"GovProof","NARROW_FALLBACK_RESEARCH_ONLY","Delegates vote without understanding a proposal's live protocol exposure.","An agent maps proposal language to live protocol state; deterministic policy and a human decide whether to sign or refuse.","The Graph","Proposal -> two live governance/protocol datasets -> consequence map -> deterministic policy -> human sign or refusal","Exact queries, proposal version, exposure calculation, policy result, refusal, and optional vote transaction",2500,14,18,17,19,9,6,4,87,"Graph AI Use Case and Composable rubrics; Agentica and RangeSeeker rows","Can collapse into an ordinary governance summarizer","Reject if live exposure does not change the decision or the output is only a summary."
4,"ReceiptGraph","NARROW_FALLBACK_RESEARCH_ONLY","Agents execute trades or paid work without a reproducible evidence bundle.","An agent gathers live evidence and proposes an effect; deterministic policy and an isolated signer authorize only a fully bound request.","The Graph; Hedera; Uniswap Foundation","Graph live evidence -> bounded decision -> Hedera payment/audit state -> Uniswap API execution -> canonical receipt","Graph endpoint/query; Hedera tx/HCS readback; Uniswap request/tx/final status; replay shows no duplicate",9500,14,20,20,13,9,6,3,85,"Graph AI, Hedera Agentic, and Uniswap API rules; ACL and AutoPay rows","Cross-chain reconciliation and crowded agent-execution field","Cut the third partner by H29; stop if one economic effect cannot reconcile after restart."
5,"RecallKey","NARROW_INDEPENDENT_FALLBACK_RESEARCH_ONLY","Sensitive incident evidence remains readable after a responder's authority expires.","An agent classifies roles and expiry; a human approves; deterministic Sui policy objects enforce access and revocation.","Sui","Encrypted case on Walrus -> role/expiry proposal -> human approval -> Sui policy grant -> revoke transaction -> post-revoke decrypt failure","Object/blob IDs; authorized decrypt; revoke tx; deterministic post-revoke failure",2000,13,20,18,16,10,4,3,84,"Sui new-app rule; Zebra row","Seal-based access-control products already exist","Reject if decrypt/revoke/decrypt cannot replay reliably or the workflow does not differ materially from existing Seal patterns."
6,"ScheduleSentry","NARROW_RESEARCH_ONLY","Teams keep paying zombie agent or API subscriptions after delivery stops.","An agent reconciles usage and service semantics; deterministic caps/deadlines and a human authorize renew or cancel.","Hedera","HCS delivery receipts -> usage reconciliation -> bounded decision -> Hedera Schedule renew/cancel -> Mirror readback","Schedule ID; HCS sequence; non-delivery refusal; cancellation or bounded Testnet renewal",3000,14,19,19,16,9,3,3,83,"Hedera Agentic rule; AutoPay row","Recurring-payment automation is a familiar pattern","Reject if the missing-delivery/refusal path or real Testnet schedule state cannot be shown."
7,"SealBid","NARROW_RESEARCH_ONLY","Vendors leak bids and buyers cannot prove selection followed declared criteria.","An agent scores semantic requirements; deterministic eligibility and weighting plus a human award retain authority.","Sui","Encrypted bids -> agent scoring -> deterministic eligibility -> human award -> Sui PTB result and controlled reveal","Unauthorized decrypt failure; scoring receipt; award object; winner-only reveal",2000,14,20,18,16,9,3,3,83,"Sui new-app rule; Zebra row","Private bidding is adjacent to existing sealed-order projects","Reject if secrecy or selective post-award reveal is mocked."
8,"Revocable Agent Subscriptions","NARROW_RESEARCH_ONLY","Autonomous tools keep paying after authority, budget, or service need changes.","An agent evaluates usage and proposes renewal; user policy and revocable capability authorize scheduled payment.","Hedera; ENS; 0G","ENS-resolved mandate -> 0G private usage decision -> Hedera scheduled transfer/cancellation -> HCS receipt","Renewal success; revoked-mandate refusal; cancellation; ENS record; Hedera readback",7500,15,18,18,15,9,4,3,82,"Hedera, ENS AI, and 0G Product rules; Brainpedia, ACL, and AutoPay rows","Agent-commerce and ENS-identity precedent density","Reject if the product reduces to a generic x402 marketplace or cosmetic ENS."
9,"IncidentExit","RESEARCH_ONLY","LPs discover exploits after liquidity is already exposed.","Agents can watch streaming events continuously; deterministic incident thresholds decide whether an exit is allowed.","The Graph; 0G; Uniswap Foundation","Substreams incident signal -> 0G verified classification -> deterministic threshold -> Uniswap API exit","Live stream event; tampered-alert refusal; quote/swap/status; post-exit position readback",9500,14,20,18,12,9,4,3,80,"Graph AI, 0G Product, and Uniswap API rules; Zuno, Moai, and Alps rows","Trading, risk, and LP-rebalancing precedent density","Reject unless the negative path and incident mechanism materially beat Moai, Alps, and Zuno precedents."
10,"SchemaPilot Evidence Pack","RESEARCH_ONLY","Builders lose hackathon time deploying and validating cross-protocol data pipelines.","An agent translates a typed research question into a pipeline and tests it against live schemas.","The Graph; 0G","One prompt -> generated Substreams or standardized-schema pipeline -> live query -> automated validation -> reusable SKILL","Fresh deployment; cross-protocol query; broken-schema refusal; installable SKILL and example",4000,13,19,17,18,8,2,2,79,"Graph Tooling and Composable rules; 0G Infrastructure rule; Skillname row","The Graph explicitly suggests one-prompt deployment, so differentiation is difficult","Reject if it is only a wrapper around existing Substreams skills."
