partner,partner_pool_usd,track,category,payout_ladder_usd,first_slot_cap_usd,mandatory_native_primitive,required_evidence,state,source_url,access_date,notes
"1inch",7000,"Build an Aqua App","standard","2500;1500;1000",2500,"Official Aqua/SwapVM contracts and sophisticated DeFi position","Token-transfer demo; tests/scripts/UI; proper Git history","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/1inch","2026-07-23","Local fork and modified SwapVM redeployment allowed."
"1inch",7000,"Build an Aqua App - Continuity Track","Continuity only","1500;500",1500,"Official Aqua/SwapVM contracts and substantive event-window delta","Prior-state disclosure; token-transfer demo; proper Git history","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/1inch","2026-07-23","Only Continuity participants qualify."
"The Graph",15000,"Best AI Tooling for The Graph","standard reusable tooling","3000;2000;2000",3000,"Reusable MCP/SKILL/plugin/config/payment tooling using live Graph-provider data","Public open-source repo; README or SKILL.md; 2-4 minute video","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/the-graph","2026-07-23","A single end-user app does not qualify."
"The Graph",15000,"Best AI Use Case of The Graph","standard AI app","2000;1000;1000",2000,"AI reasons over or acts on live Subgraph/Subgraph MCP/Substreams data","Public repo; named endpoints/tools; 2-4 minute video","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/the-graph","2026-07-23","Raw query output or mocked/static data does not qualify."
"The Graph",15000,"Best Use of Composable or Standardized Graph Products","standard composable data","2000;1000;1000",2000,"Two Graph products or meaningful standardized-schema use","Public repo; live provider data; standards/composition proof; 2-4 minute video","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/the-graph","2026-07-23","One ordinary Subgraph query is insufficient."
"World",15000,"AgentKit New Use Cases","standard","4000;2500;1500",4000,"Verify an agent is human-backed before granting access pricing authorization or execution rights","Working end-to-end flow using AgentKit","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/world","2026-07-23","Prior-hackathon patterns and simple API discounts/content generation do not qualify."
"World",15000,"Selfie Check Beta","standard beta","2000;1500",2000,"Selfie Check as a meaningful risk eligibility fairness continuity or abuse signal","Working prototype plus developer and user testing documentation","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/world","2026-07-23","Generic login does not qualify."
"World",15000,"Identity Check Beta Test","standard beta","2000;1500",2000,"Necessary minimized Identity Attestation attribute","Working prototype plus developer/user testing and data-minimization explanation","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/world","2026-07-23","Generic login does not qualify."
"Hedera",15000,"AI & Agentic Payments on Hedera","standard","3000 x 2 teams",3000,"AI or multi-agent system performs real Hedera Testnet payment/token/financial operation","Public repo and payment-flow README; <=5 minute video","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/hedera","2026-07-23","Agent Kit ACP x402 A2A or direct SDK accepted."
"Hedera",15000,"Tokenization on Hedera","standard","1500 x 2 teams",1500,"HTS token creation/configuration and lifecycle operation on Testnet","Public repo; <=5 minute lifecycle demo; Hashscan verification if applicable","CONDITIONAL","https://ethglobal.com/events/lisbon2026/prizes/hedera","2026-07-23","Intro says SDK-only/no contracts while qualification permits SDK or system contracts; prefer SDK-only absent clarification."
"Hedera",15000,"No Solidity Allowed - Build with Hedera SDKs","standard SDK-only","1000 x 3 teams",1000,"Hedera JS/TS or Python SDK; no Solidity; at least two native services","Public repo and setup README; <=5 minute video","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/hedera","2026-07-23","Incompatible with a Solidity-dependent project path."
"Hedera",15000,"Cross-Chain Automation Hub - Schedule Service + Axelar","standard cross-chain","1000 x 2 teams",1000,"Hedera schedule triggers Axelar GMP and real destination execution without project cron/keeper","Public repo; <=5 minute end-to-end video; destination readback","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/hedera","2026-07-23","High dependency and demo risk."
"Hedera",15000,"Autonomous On-Chain Automation Platform","Continuity only","1000",1000,"User creates approves and manages a real Hedera scheduled action","Public repo; scheduling-flow README; <=5 minute end-to-end video","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/hedera","2026-07-23","Only Continuity participants qualify."
