event,event_type,project,sponsor,award,placement,product_thesis,load_bearing_primitive,judge_visible_artifact,evidence_state,source_url,access_date
"Open Agents 2026","online","ACL","0G","Best Agent Framework, Tooling & Core Extensions","1st","Agent-commerce verification SDK with private negotiation and inspectable settlement.","0G Storage/Compute/Chain bind evidence, evaluation, and settlement.","Job events; Merkle roots; TEE evaluation; public receipt.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/acl-6hwos","2026-07-20"
"Open Agents 2026","online","ACL","ENS","Best ENS Integration for AI Agents","1st","Agents discover counterparties and capabilities without a separate marketplace.","ENS records are the live discovery and capability layer.","Resolved records and verified agent subnames.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/acl-6hwos","2026-07-20"
"Open Agents 2026","online","Mendel","0G","Best Agent Framework, Tooling & Core Extensions","2nd","No-code framework breeds and evolves DeFi strategy agents.","0G iNFT identity, compute, storage, and proof anchor strategy evolution.","Lineage; storage/compute proofs; live strategy run.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/mendel-319b2","2026-07-20"
"Open Agents 2026","online","Immunity","0G","Best Agent Framework, Tooling & Core Extensions","3rd","Shared threat-intelligence SDK blocks malicious agent transactions.","0G registry/Compute supply persistent and TEE-evaluated threat checks.","Attack check; blocked transaction; shared threat record.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/immunity-urob5","2026-07-20"
"Open Agents 2026","online","cortex","0G","Best Agent Framework, Tooling & Core Extensions","4th","Encrypted self-evolving protocol twins with verifiable inference.","0G encrypted storage/KV and Compute verification fail closed.","Brain root; verified response; evolved skill hash.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/cortex-cactx","2026-07-20"
"Open Agents 2026","online","FFE","0G","Best Agent Framework, Tooling & Core Extensions","5th","Multi-party private fine-tuning creates one co-owned model.","0G Storage, TEE aggregation, Chain quorum, and iNFT ownership.","Contributor commitments; rejection certificate; shared model token.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/ffe-nmr2w","2026-07-20"
"Open Agents 2026","online","Brainpedia","0G","Best Autonomous Agents, Swarms & iNFT Innovations","flat award","Obsidian knowledge becomes an owned pay-per-query agent brain.","0G iNFT, Storage, and attested Compute make knowledge ownable and queryable.","Minted brain; root; cited answer; paid query.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/brainpedia-ctx9g","2026-07-20"
"Open Agents 2026","online","Brainpedia","ENS","Best ENS Integration for AI Agents","2nd","Specialist agents need discovery, pricing, and access control.","ENS subnames and text records drive discovery, price, and access.","Resolved agent; TTL subname; price record.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/brainpedia-ctx9g","2026-07-20"
"Open Agents 2026","online","AgentMeshx","0G","Best Autonomous Agents, Swarms & iNFT Innovations","flat award","Independent security agents debate contract findings over P2P.","0G stores the final audit proof and agent work trail.","Multi-agent report; consensus; stored proof.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/agentmeshx-jq8hz","2026-07-20"
"Open Agents 2026","online","CodeGuardian iNFT","0G","Best Autonomous Agents, Swarms & iNFT Innovations","flat award","Replayable proof distinguishes real intelligent agents from metadata-only NFTs.","0G iNFT, memory, compute, and proof records make intelligence inspectable.","Proof-of-Intelligence certificate and negative control.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/codeguardian-inft-0u905","2026-07-20"
