"sponsor_or_partner","role","track_or_prize","exact_wording","prize_amount","required_sdk_or_network","developer_resources","judges_or_contacts","ecosystem_signal","source_url","access_date","confidence"
"Colosseum","organizer; platform; venture fund","no tracks or bounties; accelerator consideration","Launch post says Colosseum removed all tracks and bounties; all prize winners interviewed/evaluated for accelerator.","$250,000 pre-seed funding for accepted accelerator teams; over $2.5M venture fund deployment into select winners","Solana integration in some capacity","Colosseum website, Discord workshops, How to Win guide","Clay Robbins; Matty Taylor; Max Monciardini; Michael Rinko; Nate Levine","Startup-first judging; founder-market fit; viable business model; under-3-minute pitch; working demo","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Solana Foundation","presenting ecosystem partner","overall hackathon; Solana integration baseline","Frontier is Solana Foundation hackathon powered by Colosseum; How to Win says tech requirements removed other than integrating with Solana in some capacity.","unresolved","Solana integration","https://colosseum.com/frontier","Anatoly Yakovenko; Lily Liu; Scott Lee","Solana ecosystem startup formation and onchain product growth","https://colosseum.com/frontier","2026-06-26","high"
"Grand Champion Award","award","Grand Champion","Frontier awards $30,000 to one Grand Champion for the most impactful product submission.","$30,000","Solana integration in some capacity","https://colosseum.com/frontier","judged by ecosystem leaders and founders","Impactful product submission; startup potential","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Startup Winner Awards","award","Top 25 Winners","Launch post said $10,000 each for next best 20 startups; winners post says 5 additional teams were selected due increased submission quality, yielding Top 25 Winners.","$10,000 each","Solana integration in some capacity","https://colosseum.com/frontier","judged by ecosystem leaders and founders","Execution speed, insight, founder-market fit, prioritization, and overall talent","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26","high"
"University Award","award","University Award","Recognizes excellence from the best project led by university students.","$10,000","Solana integration in some capacity","https://colosseum.com/frontier","judged by ecosystem leaders and founders","University founder pipeline","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26","high"
"Public Good Award","award","Public Good Award","Recognizes an open-source project that benefits developers across the Solana ecosystem.","$10,000","Solana integration in some capacity","https://colosseum.com/frontier","judged by ecosystem leaders and founders","Open-source developer infrastructure; public goods","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26","high"
"Phantom","sponsor","primary sponsor in launch post; primary sponsor in winners post","Launch post lists Phantom as primary; winners post says Phantom joined Solana Foundation as primary sponsor.","unresolved","unresolved","unresolved","Adam Gutierrez; Mitchell Catoen; Trevor","Wallet UX, consumer distribution, stablecoin/CASH prize context","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Altitude","sponsor","primary sponsor in launch post; primary sponsor in winners post","Launch post lists Altitude as primary; winners post says Altitude joined Solana Foundation as primary sponsor.","unresolved","unresolved","unresolved","Phil Jacobson","Infrastructure/startup ecosystem signal","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Arcium","sponsor","secondary sponsor in launch post; primary sponsor in winners post","Sponsor role wording differs across official posts.","unresolved","unresolved","unresolved","Arihant Bansal; Milian","Privacy/confidential compute signal","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"World","sponsor","secondary sponsor in launch post; primary sponsor in winners post","Sponsor role wording differs across official posts.","unresolved","unresolved","unresolved","unresolved","Human proof/identity signal for Solana products","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Metaplex","sponsor","secondary sponsor in launch post; primary sponsor in winners post","Sponsor role wording differs across official posts.","unresolved","unresolved","unresolved","Stephen Hess","NFT/collectibles/token metadata ecosystem signal","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Raydium","sponsor","secondary sponsor in launch post; primary sponsor in winners post","Sponsor role wording differs across official posts.","unresolved","unresolved","unresolved","Infra; Tom","Liquidity/DEX signal","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Reflect","sponsor","secondary sponsor in launch post; primary sponsor in winners post","Sponsor role wording differs across official posts.","unresolved","unresolved","unresolved","Arif; Jacob","Markets/protocol ecosystem signal","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Coinbase","sponsor","secondary sponsor in launch post; primary sponsor in winners post","Sponsor role wording differs across official posts.","unresolved","unresolved","unresolved","unresolved","Exchange/onramp/payment ecosystem signal","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"Privy","sponsor","secondary sponsor in launch post","Listed as secondary sponsor in launch post; not named in winners-post primary sponsor sentence.","unresolved","unresolved","unresolved","unresolved","Embedded wallet/auth onboarding signal","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
"MoonPay","sponsor","secondary sponsor in launch post","Listed as secondary sponsor in launch post; not named in winners-post primary sponsor sentence.","unresolved","unresolved","unresolved","unresolved","Onramp/payment signal","https://blog.colosseum.com/announcing-the-solana-frontier-hackathon/","2026-06-26","high"
