project_id,event,project_name,url,tagline,status,finalist,winner,prizes,verticals,protocols,problem,solution,why_it_likely_won,lisbon_relevance,source_url
dive-5hxbp,ETHGlobal Cannes 2026,DIVE,https://ethglobal.com/showcase/dive-5hxbp,"AI swarm engine verifying real-world truth for prediction markets and autonomous on-chain settlement",deep,true,true,"World - Best use of Minikit 2.0 1st place; Hedera - AI & Agentic Payments on Hedera; 0G - Best OpenClaw Agent on 0G 2nd place; ETHGlobal Finalist","prediction markets; agent oracles; human verification","World; Hedera; 0G","Oracle resolution can be centralized or plutocratic.","Randomized AI-agent committees tied to unique humans resolve outcomes with evidence and commit-reveal voting.","Multi-sponsor product core and clear trust problem.","Strong model for World + 0G + Hedera trust workflows.",https://ethglobal.com/showcase/dive-5hxbp
veil-vpn-c643n,ETHGlobal Cannes 2026,VEIL VPN,https://ethglobal.com/showcase/veil-vpn-c643n,"Verifiable encrypted internet layer and pay-as-you-go VPN protocol that proves no logs are kept",deep,true,true,"World - Best use of World ID 4.0 1st place; Arc - Best Agentic Economy with Nanopayments 1st place; ENS - Most Creative Use of ENS 1st place; ETHGlobal Finalist","privacy; TEE; payments; identity","World; Arc; ENS; Oasis ROFL","VPN users cannot verify no-log claims.","TEE attestation proves server code; ENS discovers nodes; nanopayments price usage; World ID gates human-only servers.","Concrete privacy problem plus visible sponsor-native integrations.","Strong model for Lisbon privacy/payment/identity ideas.",https://ethglobal.com/showcase/veil-vpn-c643n
enshell-6t95y,ETHGlobal Cannes 2026,ENShell,https://ethglobal.com/showcase/enshell-6t95y,"ENShell prevents AI agents from executing malicious transactions caused by prompt injection attacks.",deep,true,true,"Chainlink - Best workflow with Chainlink CRE; ETHGlobal Finalist","agent security; transaction firewall","Chainlink; ENS","AI agents can be prompt-injected into malicious onchain actions.","Encrypted instructions and Chainlink CRE analysis gate execution before funds move.","Clear agent-risk boundary and specific security pipeline.","Useful Lisbon model for agent permissioning and policy engines.",https://ethglobal.com/showcase/enshell-6t95y
proof-of-human-1cg2d,ETHGlobal New York 2026,Proof-of-Human,https://ethglobal.com/showcase/proof-of-human-1cg2d,"Bot-proof scarce-goods drops: 1 verified human = 1 raffle slot, for both web users and AI agents",deep,false,true,"World - Track A AgentKit 1st place","scarce drops; human verification; agents","World; AgentKit","Bots and Sybil farms ruin scarce-goods drops.","One verified human gets one raffle slot across web and AI-agent surfaces.","Perfect fit to sponsor language: products that break without proof-of-human.","Strong Lisbon idea template for human-backed agent access.",https://ethglobal.com/showcase/proof-of-human-1cg2d
nyx-prk3o,ETHGlobal New York 2026,Nyx,https://ethglobal.com/showcase/nyx-prk3o,"Fully private perp DEX allowing leverage trading with yield-earning RWA collateral",deep,false,true,"Chainlink - Connect the World with Chainlink; Canton Foundation - TradFi, RWA & Tokenized Assets 1st place","DeFi; privacy; RWA","Chainlink; Canton","Perp DEX traders expose positions and order flow.","Private orderbook and peer-to-peer settlement hide positions from non-participants.","Combines a familiar DeFi primitive with a hard privacy edge.","Model for Lisbon DeFi privacy/risk tools.",https://ethglobal.com/showcase/nyx-prk3o
agentranker-0mo6w,ETHGlobal New York 2026,AgentRanker,https://ethglobal.com/showcase/agentranker-0mo6w,"Trust layer for agent economy using reputation scoring and Hedera",deep,false,true,"Hedera - Autonomous On-Chain Automation Platform","agent reputation; payments; evaluation","Hedera; ERC-8004","Agents need trustworthy counterparties before autonomous transactions.","Onchain reputation plus quality evaluation produces a trust score.","Directly targets agent-economy trust and automation.","Good Lisbon pattern for agent scoring with The Graph/Hedera/ENS.",https://ethglobal.com/showcase/agentranker-0mo6w
azimuth-7w256,ETHGlobal New York 2026,Azimuth,https://ethglobal.com/showcase/azimuth-7w256,"Project integrating Walrus storage, Hedera automation, and ENS continuity",deep,false,true,"Sui - Best product integrating Walrus for storage; Hedera - Autonomous On-Chain Automation Platform; ENS - Best ENS Continuity Integration 3rd place","storage; automation; identity","Sui; Hedera; ENS","Agent/data workflows need storage, automation, and identity/discovery.","Combines storage with automation and ENS continuity features.","Multi-sponsor integration around one coherent workflow.","Relevant to Lisbon if The Graph/ENS/Hedera are combined around indexed agent memory.",https://ethglobal.com/showcase/azimuth-7w256
clawback-vpmw2,ETHGlobal New York 2026,Clawback,https://ethglobal.com/showcase/clawback-vpmw2,"Agent payment escrow on Arc with AI-adjudicated disputes",light,false,true,"Official showcase listing indicates prize metadata","agent payments; escrow; disputes","Arc; ENS; Chainlink","Agent payments need dispute and refund mechanics.","USDC escrow, ENS reputation, and Chainlink-mediated dispute resolution.","Turns payment failure mode into a demoable workflow.","Good Lisbon angle for 1inch/ENS/Hedera payment-policy tools.",https://ethglobal.com/showcase/clawback-vpmw2
veryclear-vu8i7,ETHGlobal Cannes 2026,Veryclear,https://ethglobal.com/showcase/veryclear-vu8i7,"Scriptable ERC7730 descriptions for Ethereum transactions.",light,false,true,"Official showcase listing indicates prize metadata","wallet UX; transaction clarity","Ledger likely; Ethereum","Users struggle to understand transaction intent.","Scriptable clear transaction descriptions.","Strong concrete wallet-safety utility.","Relevant to Lisbon if ENS/1inch flows need safer transaction explanations.",https://ethglobal.com/showcase/veryclear-vu8i7
smile-fictr,ETHGlobal New York 2026,Smile,https://ethglobal.com/showcase/smile-fictr,"Standard options market potentially as popular as Robinhood, decentralized as Polymarket.",light,false,true,"Official showcase listing indicates prize metadata","options; DeFi; prediction markets","Uniswap; Chainlink","Options are hard to access and understand onchain.","Onchain options market with settlement and collateral workflows.","Ambitious but understandable financial primitive.","Relevant to Lisbon Uniswap/1inch DeFi tracks.",https://ethglobal.com/showcase/smile-fictr
