source_id,url,source_owner,source_type,scope,access_date,state,note
LWR001,https://ethglobal.com/events/lisbon2026/prizes,ETHGlobal,official_dynamic,"Lisbon partner pools and prize pages",2026-07-20,CONFIRMED,"Eight visible partners; 86000 dollars displayed; 18 released tracks; World pending."
LWR002,https://ethglobal.com/events/lisbon2026/info/details,ETHGlobal,official_dynamic,"Lisbon schedule, partner selection, judging, submission, AI/provenance rules",2026-07-20,CONFIRMED,"Recheck at H0 and submission."
LWR003,https://ethglobal.com/rules,ETHGlobal,official_dynamic,"Global pre-existing-work and event rules",2026-07-20,CONFIRMED,"Classic forbids pre-existing project-specific code, designs, and assets; disclosure and version history required."
LWR004,https://ethglobal.com/events/openagents,ETHGlobal,official_event,"Open Agents 2026 online event",2026-07-20,CONFIRMED,"Direct precedent for 0G, Uniswap, and ENS."
LWR005,https://ethglobal.com/events/openagents/prizes,ETHGlobal,official_prize,"Open Agents prize requirements",2026-07-20,CONFIRMED,"Framework vs agent split; Uniswap API; ENS AI/creative."
LWR006,https://ethglobal.com/showcase?events=openagents,ETHGlobal,official_showcase_index,"Open Agents project corpus",2026-07-20,CONFIRMED,"Project descriptions are entrant-authored; award metadata is official."
LWR007,https://ethglobal.com/events/hackmoney2026,ETHGlobal,official_event,"HackMoney 2026 online event",2026-07-20,CONFIRMED,"Direct precedent for Uniswap, Sui, and ENS."
LWR008,https://ethglobal.com/events/hackmoney2026/prizes,ETHGlobal,official_prize,"HackMoney prize and finalist requirements",2026-07-20,CONFIRMED,"Top-ten finalist and sponsor ladders."
LWR009,https://ethglobal.com/showcase?events=hackmoney2026,ETHGlobal,official_showcase_index,"HackMoney project corpus",2026-07-20,CONFIRMED,"Individual official project URLs are recorded in winner register."
LWR010,https://ethglobal.com/events/buenosaires/prizes,ETHGlobal,official_prize,"Buenos Aires 2025 comparable sponsor tracks",2026-07-20,CONFIRMED,"Best direct Aqua/SwapVM and Graph Amp precedent."
LWR011,https://ethglobal.com/events/cannes2026/prizes,ETHGlobal,official_prize,"Cannes 2026 sponsor precedents",2026-07-20,CONFIRMED,"World, Hedera, 0G, Uniswap, and ENS comparables."
LWR012,https://ethglobal.com/events/newyork2026/prizes,ETHGlobal,official_prize,"New York 2026 sponsor precedents",2026-07-20,CONFIRMED,"World, Hedera, Uniswap, ENS, and Sui comparables."
LWR013,https://developers.uniswap.org/hackathon-feedback,Uniswap Labs,official_live_form,"Mandatory Lisbon feedback form",2026-07-20,CONFIRMED_HTTP_200,"Availability only; form completion and FEEDBACK.md remain required."
LWR014,https://thegraph.com/docs/en/ai-overview/,The Graph,official_docs,"Graph AI tooling",2026-07-20,CONFIRMED,"MCP/SKILL/tooling reference."
LWR015,https://thegraph.com/docs/en/subgraphs/existing-subgraphs/standard-subgraphs/,The Graph,official_docs,"Standardized Subgraphs",2026-07-20,CONFIRMED,"Composable/standardized track reference."
LWR016,https://github.com/streamingfast/substreams-skills,StreamingFast,official_repository,"Substreams one-prompt skills",2026-07-20,CONFIRMED,"Featured Graph challenge input."
LWR017,https://github.com/1inch/aqua,1inch,official_repository,"Aqua contracts and whitepaper",2026-07-20,CONFIRMED,"Use official contracts at H0; repository can drift."
LWR018,https://github.com/1inch/swap-vm-template,1inch,official_repository,"SwapVM starter",2026-07-20,CONFIRMED,"Do not create Project B assets before H0."
LWR019,https://docs.0g.ai,0G,official_docs,"0G Compute, Storage, Chain, Agentic ID",2026-07-20,CONFIRMED,"Live proof paths require event-time access checks."
LWR020,https://docs.hedera.com/hedera,Hedera,official_docs,"Hedera SDK/native services",2026-07-20,CONFIRMED,"Agentic payment, HTS, HCS, schedules, Mirror evidence."
LWR021,https://docs.ens.domains/ensip/25/,ENS,official_docs,"ENS agent identity verification",2026-07-20,CONFIRMED,"Relevant to agent identity track."
LWR022,https://docs.ens.domains/ensip/26/,ENS,official_docs,"ENS agent text records",2026-07-20,CONFIRMED,"Relevant to capabilities/discovery."
LWR023,https://docs.wal.app/,Mysten Labs,official_docs,"Walrus/Sui storage",2026-07-20,CONFIRMED,"Sui stack reference; Testnet can reset."
LWR024,codex-attachment:40518d2b-96a5-4591-acc3-00eacdfef83a/pasted-text.txt,User,user_supplied_snapshot,"Controlling Lisbon prize snapshot supplied with this research request",2026-07-20,CONFIRMED,"Local attachment path /Users/barroca888/.codex/attachments/40518d2b-96a5-4591-acc3-00eacdfef83a/pasted-text.txt; SHA-256 90a60e5c62558f8ca6e86ec2dc0e7a0ee4973928d1c636e1c0ef93017d7358eb."
