"project_name","repo_url","setup_likely","license","maintainer_activity","sponsor_sdk_evidence","reusable_primitive","ecosystem_value_50","upstream_contribution_path","demo_reproducible","risk","audit_status","source_url","access_date"
"Zoneless","unresolved","unknown","unknown","unknown","unverified","Solana public-good developer tooling","42","Package, plugin, docs, or PR path once repo is visible","unknown","Public-good award implies open source, but repo URL is unresolved in this pass.","not_audited","https://arena.colosseum.org/projects/explore/zoneless","2026-06-26"
"Sudont","unresolved","unknown","unknown","unknown","unverified","Bare-metal execution firewall and local RPC for Solana agents","40","Reusable local RPC/firewall package or template","unknown","Security claims need repo, tests, and threat model.","not_audited","https://arena.colosseum.org/projects/explore/sudont","2026-06-26"
"Flovia","unresolved","unknown","unknown","unknown","unverified","Machine-paid API analytics and growth intelligence layer","39","Reusable agent-payment telemetry/indexer package","unknown","Analytics can degrade into dashboard unless it changes pricing/growth decisions.","not_audited","https://arena.colosseum.org/projects/explore/flovia","2026-06-26"
"YieldCompass","unresolved","unknown","unknown","unknown","unverified","Transparent DeFi yield and protocol-risk scoring","38","Open risk scoring model, fixtures, and protocol adapters","unknown","Risk scoring must be auditable and not black-box marketing.","not_audited","https://arena.colosseum.org/projects/explore/yieldcompass","2026-06-26"
"CrowdBrain","unresolved","unknown","unknown","unknown","unverified","DePIN operator QA and work-routing template","37","Reusable quality-proof schema for real-world work routing","unknown","Robotics/DePIN demo may depend on offchain operations not reproducible by judges.","not_audited","https://arena.colosseum.org/projects/explore/crowdbrain","2026-06-26"
"Senthos","unresolved","unknown","unknown","unknown","unverified","Prediction-market structured product primitive","36","Composable risk-tranche contracts or calculation package","unknown","Financial primitive needs liquidity and clear risk explanation.","not_audited","https://arena.colosseum.org/projects/explore/senthos","2026-06-26"
"Bench","unresolved","unknown","unknown","unknown","unverified","Private opportunity market signal aggregation","35","Market-resolution and reward template for private signal buyers","unknown","Resolution and privacy mechanics unresolved.","not_audited","https://arena.colosseum.org/projects/explore/bench","2026-06-26"
"DashX","unresolved","unknown","unknown","unknown","unverified","Compliant stablecoin cross-border payment rail","34","Payment corridor reference implementation and compliance artifact template","unknown","Compliance and distribution wedge unresolved.","not_audited","https://arena.colosseum.org/projects/explore/dashx-1","2026-06-26"
"Stablecorp","unresolved","unknown","unknown","unknown","unverified","Stablecoin business infrastructure for remote founders","34","Stablecoin founder-ops template with invoices, payouts, and accounting hooks","unknown","May be product-specific rather than reusable infrastructure.","not_audited","https://arena.colosseum.org/projects/explore/stablecorp","2026-06-26"
"Kestrel Protocol","unresolved","unknown","unknown","unknown","unverified","Unresolved protocol/infrastructure candidate","28","unresolved","unknown","Honorable mention only; details unavailable.","not_audited","https://arena.colosseum.org/projects/explore/kestrel-protocol","2026-06-26"
"Encrypt","unresolved","unknown","unknown","unknown","unverified","Unresolved security/privacy candidate","26","unresolved","unknown","Honorable mention only; do not infer implementation from name.","not_audited","https://arena.colosseum.org/projects/explore/encrypt","2026-06-26"
"Portara","unresolved","unknown","unknown","unknown","unverified","Unresolved ecosystem candidate","24","unresolved","unknown","Honorable mention only; details unavailable.","not_audited","https://arena.colosseum.org/projects/explore/portara","2026-06-26"
