protocol_or_standard,category,why_it_matters_for_lisbon,open_source_or_open_standard_surface,build_angle,matched_lisbon_sponsors,evidence_urls,source_quality,access_date,recheck_by
World AgentKit,human-backed agents,"Prior Cannes/New York winners show strong signal for products that break without proof-of-human. AgentKit lets verified humans delegate proof to agents.","GitHub repo and World developer docs","Human-backed agent API marketplace; one-human-one-agent quota; verified trial/giveaway access; agent payments with human accountability","World; ENS; The Graph","https://github.com/worldcoin/agentkit ; https://docs.world.org/agents/agent-kit",official/open-source,2026-06-22,2026-07-21
x402,agent and API payments,"Agent commerce needs accountless machine-payable APIs, retries, and micropayment gates. Multiple prior projects used x402-style payment flows.","Open protocol docs and GitHub foundation repo","Payment-gated data APIs for agents; paid security scans; chargebackable agent services; paid graph/index queries","1inch; ENS; World; Yellow","https://docs.x402.org/introduction ; https://github.com/x402-foundation/x402",official/open-source,2026-06-22,2026-07-21
ERC-8004 Trustless Agents,agent identity and reputation,"New York projects repeatedly target agent discovery, reputation, and counterpart risk. ERC-8004 gives agent registries a standard shape.","Ethereum EIP and open-source contracts","Agent registry with ENS names, x402 endpoints, reputation proofs, and dispute history","ENS; The Graph; Hedera; World","https://eips.ethereum.org/EIPS/eip-8004 ; https://github.com/erc-8004/erc-8004-contracts",official/open-standard,2026-06-22,2026-07-21
Uniswap v4 hooks,DeFi programmable liquidity,"Hooks let a pool customize lifecycle behavior, enabling risk controls, fees, intents, compliance gates, or agent-specific liquidity logic.","Uniswap developer docs and public hook repo","LP safety hook; LVR-aware fee hook; human-gated launch hook; hook monitoring dashboard","Uniswap Foundation; The Graph; 1inch","https://developers.uniswap.org/docs/protocols/v4/concepts/hooks ; https://github.com/Uniswap/v4-hooks-public",official/open-source,2026-06-22,2026-07-21
The Graph Substreams,indexing and analytics,"Several strong projects win by exposing live trust/risk data. Substreams provides high-performance indexing for dashboards, reputation, and agent history.","Official The Graph docs","Agent reputation indexer; Uniswap hook analytics; x402 service revenue dashboard; proof-of-human activity graph","The Graph; ENS; Uniswap Foundation","https://thegraph.com/docs/en/substreams/introduction/ ; https://docs.substreams.dev/",official/open-source,2026-06-22,2026-07-21
0G decentralized AI stack,decentralized AI compute/storage/DA,"Cannes winners used 0G to make agent reasoning and memory verifiable. Lisbon lists 0G as a prize partner.","Official docs and starter repos","Verifiable agent memory; decentralized inference receipts; AI DeFi agent with auditable prompts and outputs","0G; World; The Graph","https://docs.0g.ai/ ; https://github.com/0glabs/0g-compute-ts-starter-kit",official/open-source,2026-06-22,2026-07-21
ENSv2 and ENS developer stack,identity and discovery,"ENS keeps showing up in winning agent, security, and discovery projects. ENSv2 is moving toward more flexible cross-chain/name architecture while staying on Ethereum L1.","Official ENS docs and ENSv2 materials","Agent directory; product passport names; dispute reputation records; wallet safety labels","ENS; The Graph; World","https://docs.ens.domains/ ; https://ens.domains/ensv2 ; https://ens.domains/blog/post/ens-staying-on-ethereum",official/dynamic,2026-06-22,2026-07-21
1inch Aqua,shared liquidity,"Aqua is a developer-facing shared-liquidity layer and maps directly to Lisbon's 1inch sponsor surface.","GitHub repo and 1inch developer release","Shared-liquidity strategy marketplace; LVR-aware Aqua router; capital allocation simulator; agent-selected strategies","1inch; Uniswap Foundation; The Graph","https://github.com/1inch/aqua ; https://1inch.com/blog/post/aqua-developer-release",official/open-source,2026-06-22,2026-07-21
Yellow state channels,state channels and clearing,"Lisbon includes Yellow. State channels are a strong fit for low-latency, offchain negotiation, clearing, and net settlement.","Official Yellow site and whitepaper","Agent service clearinghouse; high-frequency game/market settlement; cross-chain escrow with net settlement","Yellow; 1inch; ENS","https://www.yellow.org/ ; https://docs.yellow.org/whitepaper/",official/dynamic,2026-06-22,2026-07-21
Hedera and Hiero,high-throughput services and open infrastructure,"Prior winners used Hedera for consensus logs, token operations, and agent payments. Hiero exposes Hedera's open-source stack.","Official Hedera open-source material and ETHGlobal criteria","Audit log for agent actions; tokenized product passports; no-Solidity payment automation; HCS evidence trails","Hedera; World; The Graph","https://hedera.com/learning/open-source-at-hedera ; https://ethglobal.com/events/cannes2026/prizes/hedera",official/open-source,2026-06-22,2026-07-21
Chainlink CRE privacy standard,confidential workflows,"Cannes/New York Chainlink winners cluster around workflow orchestration, privacy, compliance, and confidential external data.","Official Chainlink docs and demos","Private compliance router; confidential AI attester; institutional DeFi policy workflow; escrow adjudication","The Graph; 1inch; Uniswap Foundation","https://docs.chain.link/oracle-platform/privacy-standard ; https://docs.chain.link/cre/guides/workflow/using-confidential-http-client",official/dynamic,2026-06-22,2026-07-21
Walrus,verifiable storage,"New York winners used Walrus for durable data and agent memory. Not a Lisbon sponsor in the current prize page, but useful support infra.","Official docs and GitHub repo","Verifiable project memory; product-passport evidence blobs; agent memory portability","The Graph; ENS; 0G","https://docs.wal.app/ ; https://github.com/MystenLabs/walrus",official/open-source,2026-06-22,2026-07-21
"ENSIP-25 and ENSIP-26 agent records","agent identity and discovery","ERC-8004 gives agents registry shape, but Lisbon products also need human-readable names, endpoints, and verification records that wallets and indexers can resolve.","ENS improvement proposals in official ENS docs","ENS-named agent directory; MCP/A2A endpoint resolver; verified service record for x402 agents; sponsor-safe agent profile card","ENS; World; The Graph","https://docs.ens.domains/ensip/25/ ; https://docs.ens.domains/ensip/26/",official/open-standard,2026-06-29,2026-07-21
