source_id,url,title,publisher,access_timestamp,track_or_category,source_quality,claim_supported,confidence,notes
"P001","https://ethglobal.com/events/lisbon2026/prizes","ETHGlobal Lisbon 2026 Prizes","ETHGlobal and prize partners","2026-07-16T11:55:05Z","all Lisbon partners and tracks","primary_official_dynamic","Eight partner pools are visible; thirteen tracks are released; official metadata labels released tracks as building-from-scratch or continuity-track.","high","The Graph and World have pool pages but no track details."
"P002","https://ethglobal.com/rules","Rules and Code of Conduct","ETHGlobal","2026-07-16T11:55:05Z","pre-existing work","primary_official_normative","Classic work starts at kickoff; Continuity requires disclosed pre-existing work, substantive open-source event work and version-control history; partner eligibility varies.","high","Global rule; event and partner rules may add requirements."
"P003","https://ethglobal.com/events/lisbon2026/info/details","Lisbon Submission and Judging Guide","ETHGlobal","2026-07-16T11:55:05Z","submission and judging","primary_official_dynamic","Teams may select up to three partners; one selected partner exposes all its tracks; deadline is 2026-07-26 09:00 WEST; finalist session is four-minute demo plus three-minute Q&A.","high","Track visibility does not prove multi-awardability."
"P004","https://ethglobal.com/events/lisbon2026","ETHGlobal Lisbon 2026","ETHGlobal","2026-07-16T11:55:05Z","event FAQ","primary_official_dynamic","Team size is one to five; each member applies and stakes individually; solo participation is allowed.","high","Extracted from official event-page FAQ payload."
"P005","https://ethglobal.com/events/lisbon2026/prizes/1inch","1inch Lisbon Prize","1inch and ETHGlobal","2026-07-16T11:55:05Z","Build an Aqua App","primary_official_partner_rule","The From Scratch track pays 2500, 1500 and 1000 dollars and requires official Aqua or SwapVM, an onchain token-transfer demo and proper history.","high","Explicitly excluded from the AlphaDawg build."
"P006","https://ethglobal.com/events/lisbon2026/prizes/hedera","Hedera Lisbon Prizes","Hedera and ETHGlobal","2026-07-16T11:55:05Z","Hedera four-track ledger","primary_official_partner_rule","Agentic pays two teams 3000 dollars; Tokenization pays two teams 1500 dollars; No Solidity and Cross-Chain each pay three teams 1000 dollars.","high","All four are labeled From Scratch in official metadata."
"P007","https://ethglobal.com/events/lisbon2026/prizes/hedera","Hedera Tokenization Qualification Requirements","Hedera and ETHGlobal","2026-07-16T11:55:05Z","Tokenization wording conflict","primary_official_partner_rule","The introduction says SDK-only and no contracts, while qualification permits HTS via SDK, system contracts or both and asks for Hashscan verification if applicable.","high","Blocked pending sponsor correction."
"P008","https://ethglobal.com/events/lisbon2026/prizes/0g","0G Lisbon Prizes","0G and ETHGlobal","2026-07-16T11:55:05Z","0G three-track ledger","primary_official_partner_rule","AI Product pays 3000, 2000 and 1000 dollars; Infrastructure and Keep Building each pay three teams 1500 dollars; only Keep Building is Continuity.","high","Product versus Infrastructure wording suggests sponsor classification rather than guaranteed stacking."
"P009","https://ethglobal.com/events/lisbon2026/prizes/uniswap-foundation","Uniswap Foundation Lisbon Prizes","Uniswap Foundation and ETHGlobal","2026-07-16T11:55:05Z","Uniswap two-track ledger","primary_official_partner_rule","API Integration pays 4000, 2000 and 1000 dollars and is From Scratch; Stack Contribution pays three teams 1000 dollars and is Continuity.","high","Both require public open-source code, FEEDBACK.md, form submission and README code pointers."
"P010","https://ethglobal.com/events/lisbon2026/prizes/sui","Sui Lisbon Prizes","Sui and ETHGlobal","2026-07-16T11:55:05Z","Sui two-track ledger","primary_official_partner_rule","New App pays two teams 2000 dollars and is From Scratch; Existing App pays 2000 dollars and is Continuity.","high","Both tracks explicitly excluded from build scope."
