event,project_name,status,award_or_signal,verticals,core_user_pain,sponsor_native_mechanics,judge_visible_artifacts,why_it_likely_won_or_finaled,lisbon_transfer_pattern,confidence,source_url,access_date
ETHGlobal Cannes 2026,ENShell,finalist; track winner,"ETHGlobal Cannes 2026 Finalist; Chainlink - Best workflow with Chainlink CRE","agent security; wallet policy; transaction firewall","AI agents can be prompt-injected into malicious onchain actions.","Chainlink CRE evaluates the proposed action before execution; ENS gives the agent/action context a resolvable identity layer.","Policy decision, blocked transaction path, signed or prevented execution trace.","It attacked an urgent agent-security failure mode with a judge-friendly before/after demo: malicious prompt enters, policy engine blocks unsafe funds movement.","Build agent systems where the protocol is a hard safety gate, not a login badge.",high,https://ethglobal.com/showcase/enshell-6t95y,2026-06-22
ETHGlobal Cannes 2026,DIVE,finalist; multi-track winner,"ETHGlobal Cannes 2026 Finalist; World Minikit 2.0 1st; Hedera AI and Agentic Payments; 0G OpenClaw Agent 2nd","prediction markets; oracle resolution; human-backed agents","Oracle resolution is either centralized or token-plutocratic.","World enforces one-human-backed agent; 0G supplies agent compute/storage; Hedera records token and consensus activity.","Market creation/resolution loop, evidence trail, commit-reveal or consensus artifact, onchain settlement state.","It made each sponsor necessary to the core truth pipeline and turned a broad AI idea into a concrete dispute-resolution loop.","Pair agents with identity, evidence, consensus, and settlement in one replayable workflow.",high,https://ethglobal.com/showcase/dive-5hxbp,2026-06-22
ETHGlobal Cannes 2026,VEIL VPN,finalist; multi-track winner,"ETHGlobal Cannes 2026 Finalist; World ID 4.0 1st; Arc nanopayments 1st; ENS creative 1st","privacy; TEE; payments; decentralized networking","VPN users cannot verify that no logs are kept.","TEE attestation proves server behavior; ENS discovers attested nodes; World restricts scarce or human-only service; Arc/Circle handles usage payments.","Attestation view, ENS node lookup, pay-as-you-go session, proof validation.","It solved a mainstream privacy trust gap with cryptographic evidence and gave every sponsor a different job in the product.","Choose a real-world product claim and make it verifiable with identity, naming, payment, and attestation primitives.",high,https://ethglobal.com/showcase/veil-vpn-c643n,2026-06-22
ETHGlobal Cannes 2026,maki,finalist,"ETHGlobal Cannes 2026 Finalist","DeFi agent; hardware signing; wallet safety","A freeform model should not be able to move funds directly.","The model interprets intent, deterministic adapters build transactions, hardware or secure enclave signs only after policy/simulation.","Natural-language request, simulated route, policy check, hardware approval, final tx.","It framed agentic DeFi as controlled execution instead of autonomous risk, matching judging criteria around practicality and technicality.","For Lisbon, build agents that are useful because they are bounded: simulate, explain, policy-check, then approve.",high,https://ethglobal.com/showcase/maki-564eg,2026-06-22
ETHGlobal Cannes 2026,npmguard,finalist; track winner,"ETHGlobal Cannes 2026 Finalist; ENS - Most Creative Use of ENS 3rd place","developer security; package reputation; ENS records","Developers cannot quickly trust package risk reports or provenance.","ENS subnames and records publish audit reports and reputation pointers; IPFS or linked storage makes reports portable.","Package scan, score page, ENS-resolved audit record, paid audit path.","It turned ENS into a discoverable security registry rather than a profile label, and targeted a developer pain judges understand fast.","Use ENS as a live registry for trust artifacts: audits, agent reputation, payment rights, compliance status.",high,https://ethglobal.com/showcase/npmguard-aeihd,2026-06-22
ETHGlobal Cannes 2026,PaintGlobal,finalist,"ETHGlobal Cannes 2026 Finalist","event consumer app; physical identity; NFT auctions","Hackathon art participation and voting can be Sybil-prone or detached from the event.","Physical NFC wristbands map participants to one vote and connect art outcomes to onchain ranking/auction state.","Gallery, NFC scan, one-person vote, ranking and auction artifact.","It used the physical event as a proof source and made the demo local, memorable, and hard to fake.","Use Lisbon itself as a data source only when the local proof changes product behavior.",high,https://ethglobal.com/showcase/paintglobal-v4pwo,2026-06-22
ETHGlobal Cannes 2026,Corpus,finalist,"ETHGlobal Cannes 2026 Finalist","agent companies; product automation; tokenized ownership","Products need autonomous growth, operations, and revenue loops without a full team.","Agent corp abstraction coordinates GTM, trading, earning, treasury, and tokenized ownership.","Registered product, deployed agents, earning or trading loop, token ownership state.","It matched the Cannes agent-native theme by making agents the operating model of the product, not a chat UI.","If building agent infrastructure, show the agent has a job, budget, identity, revenue path, and measurable outcome.",medium,https://ethglobal.com/showcase/corpus-j7an5,2026-06-22
ETHGlobal Cannes 2026,Defi,finalist,"ETHGlobal Cannes 2026 Finalist","gamified DeFi; leverage; consumer crypto","DeFi trading can be abstract and hard to learn; games create a visible contest loop.","Layer 2 execution and market PnL produce a clear win condition.","Duel creation, leveraged positions, timer, PnL comparison, winner settlement.","It likely finaled because it made DeFi legible as a competitive game with a simple judging moment.","For consumer DeFi, build a visible finish line and deterministic win condition.",medium,https://ethglobal.com/showcase/defi-e9zii,2026-06-22
ETHGlobal Cannes 2026,ALMA,finalist,"ETHGlobal Cannes 2026 Finalist","unresolved; official finalist list only","Official finalist list confirms inclusion; project detail was not enriched in this pass.","Unresolved.","Unresolved.","Keep as a gap until project page is rechecked.","Use as a source-audit reminder, not strategy evidence yet.",low,https://x.com/ETHGlobal/status/2040805061899723200,2026-06-22
ETHGlobal Cannes 2026,EVM PORST,finalist,"ETHGlobal Cannes 2026 Finalist","post-quantum signatures; EVM cryptography","Existing post-quantum signature implementations are inefficient or poorly fit for EVM constraints.","PORST signature scheme targets EVM-friendly verification.","Cryptographic benchmark or verifier demo.","It likely finaled for technical originality: a primitive-level improvement rather than an app wrapper.","Deep technical primitives can win if the benchmark is undeniable and the demo explains why it matters.",high,https://ethglobal.com/showcase/evm-porst-kkcfo,2026-06-22
