"project_id","event","award_bucket","project_name","url","tagline","verticals","sponsors_or_protocols","problem","solution","repo_url","demo_url","team_status","open_source_status","why_it_likely_won","lisbon_transfer","reject_risk","confidence","source_url","access_date"
"crowdbrain","Solana Frontier Hackathon 2026","grand_champion","CrowdBrain","https://arena.colosseum.org/projects/explore/crowdbrain","CrowdBrain is a vertically integrated robotics work network. We train users in simulation, qualify them through QA, and route the best operators to real robots for teleoperation, data collection, and failure recovery. Robotics teams get verified manipulation data without building their own operator and hardware network.","DePIN","Solana; DePIN","Real-world robots need qualified human operators, data collection, and failure recovery.","Simulation training plus QA qualifies operators and routes best performers to real robot work.","https://github.com/CrowdBrain/application","https://youtu.be/tI7T3X5IRT8","Arena API team handles: Nika, ivmit","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely won because it combines venture-scale ambition, real-world work, quality control, and crypto coordination into one operations loop.","Lisbon DePIN ideas need verifiable work quality and routing, not just device registration.","DePIN without proof-of-work quality or operator accountability.","high","https://api.colosseum.org/api/project?slug=crowdbrain&type=HACKATHON","2026-06-26"
"peaks","Solana Frontier Hackathon 2026","top_25_winner","Peaks","https://arena.colosseum.org/projects/explore/peaks","Peaks is the consumer app for investing in any idea. Using agents, investors can launch self-managing portfolios based on a sector, personality, or worldview and then share them with the world.","Consumer Apps","Solana; agents","Users want simple thematic exposure but portfolio construction is complex.","Agents launch and manage idea-based portfolios.","https://github.com/MoneyBoy1x/peaks-col","https://youtu.be/PjcMm6bq6KU","Arena API team handles: nicoj, mjochnick","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for a clear consumer wedge and agent-managed investment loop.","Transfer only if Lisbon sponsor primitive changes portfolio construction or proof artifact.","Generic trading app with Solana as thin settlement.","high","https://api.colosseum.org/api/project?slug=peaks&type=HACKATHON","2026-06-26"
"alpha-group-trading","Solana Frontier Hackathon 2026","top_25_winner","Alpha Group Trading","https://arena.colosseum.org/projects/explore/alpha-group-trading","Alpha is a mobile trading app where groups of friends trade, chat and collaborate. Instead of copying strangers on leaderboards, users form small trusted circles where everyone's track record is verified, execution is one tap inside the conversation, and every member has skin in the same trade. Currently in closed beta! DM for invite","Social / SocialFi","Solana","Trading is isolated even though many decisions are social.","Mobile group trading combines chat, collaboration, and execution.","https://github.com/Alpha-Trading-Laboratories/Alpha-Mobile","https://www.loom.com/share/bdb6d071ca1e4d2b9374e3f732c833d6","Arena API team handles: tertius","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for social product clarity and mobile-first consumer wedge.","Useful for Lisbon only if group decisions create verifiable signal or shared proof.","Generic social trading without unique crypto coordination.","high","https://api.colosseum.org/api/project?slug=alpha-group-trading&type=HACKATHON","2026-06-26"
"bench","Solana Frontier Hackathon 2026","top_25_winner","Bench","https://arena.colosseum.org/projects/explore/bench","Bench is a platform for Opportunity Markets. 

Where Prediction Markets output public probabilities and resolve to a binary outcome, Bench aggregates insights, resolves subjectively, and rewards useful signals, revealed only to the market creator. 

Filling the privacy gap in information markets, Bench allows market creators to access high-value information without leaking it, creating a real competitive edge.","Consumer Apps","Solana","Market creators need useful signals without public leakage.","Private opportunity markets aggregate, resolve, and reward useful signals.","https://github.com/Bench-games/bench-core","https://youtu.be/KzThM5inxZM","Arena API team handles: sal, herzog","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for market mechanism novelty and private information aggregation.","Lisbon market ideas need resolution and reward mechanics, not just betting UI.","Market with no resolution edge or user who pays for signal.","high","https://api.colosseum.org/api/project?slug=bench&type=HACKATHON","2026-06-26"
"mentioned","Solana Frontier Hackathon 2026","top_25_winner","Mentioned","https://arena.colosseum.org/projects/explore/mentioned","Wherever words are spoken, a mention market can be built. 

Mentioned is the home for live word markets. Multiplayer by default, free to start.

Trade on what gets said.","Consumer Apps","Solana","Media attention and wording choices have speculative value but no native market.","Users bet on word choices in media.","https://github.com/Mentioned-Market/mentioned","https://www.youtube.com/watch?v=j3bUhq7j7t4","Arena API team handles: taylor, adamm","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for a simple, novel market primitive tied to culture/media.","Lisbon equivalent needs deterministic resolution and proof of media outcome.","Meme market with weak resolution or no durable user need.","high","https://api.colosseum.org/api/project?slug=mentioned&type=HACKATHON","2026-06-26"
"flovia","Solana Frontier Hackathon 2026","top_25_winner","Flovia","https://arena.colosseum.org/projects/explore/flovia","Flovia is the growth analytics & intelligence for machine-paid APIs. 
We help API providers on x402 / MPP understand where agent demand comes from, which agent user(wallets), acquisition channels drive retained usage, and decide what to do next across repricing, partnerships, GTM, and API packaging. 
Flovia turns fragmented agent payment and usage data into predictable API growth.","Data & Analytics","Solana; machine payments","Machine-paid API providers lack clear usage and growth intelligence.","Analytics platform converts payment and usage data into predictable API growth signals.","https://github.com/flovia/poc","https://www.loom.com/share/68a7cd7b5ec94036804c0fd21888b02e","Arena API team handles: cruujon, peaceandwhisky, kourin, foxytanuki","GitHub API public metadata visible; license=unresolved","Likely scored because machine payments become a measurable business dashboard.","Directly strengthens Lisbon x402 service desk and paid API observability.","Dashboard that does not change pricing, routing, or retention decisions.","high","https://api.colosseum.org/api/project?slug=flovia&type=HACKATHON","2026-06-26"
"senthos","Solana Frontier Hackathon 2026","top_25_winner","Senthos","https://arena.colosseum.org/projects/explore/senthos","Senthos is a Solana-native structured-product protocol for prediction markets. It wraps binary outcomes into institutional-grade instruments: pro-rata basket tokens (Constellations), senior/mezzanine/junior tranches, principal-protected notes, and copula-priced multi-leg parlays, all settled on Anchor programs and powered by a proprietary correlation engine over 400M+ Polymarket data points. 

The platform turns raw prediction-market flow into risk-stratified, composable exposure","DeFi","Solana","Prediction market exposure is raw and hard to compose by risk preference.","Risk-stratified products turn market flow into composable exposure.","https://github.com/notveiker/Senthos","https://youtu.be/D41bJcQ7lwI","Arena API team handles: Veiker, Tharunekam","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for turning market data into a financial primitive.","Lisbon equivalent should package risk into an action, not only a chart.","Financial wrapper with no clear liquidity or user wedge.","high","https://api.colosseum.org/api/project?slug=senthos&type=HACKATHON","2026-06-26"
"dropset","Solana Frontier Hackathon 2026","top_25_winner","Dropset","https://arena.colosseum.org/projects/explore/dropset","DASMAC (dasmac.com) is building Dropset, a fully onchain central limit order book on Solana L1: the real infrastructure behind the ""Onchain NASDAQ"" vision. Where proprietary AMMs fragment liquidity and obscure execution, Dropset brings transparency, guaranteed prices, and strategy privacy for institutional market makers. Built in SBPF assembly for unprecedented compute efficiency. Read our vision: x.com/DASMAC/status/2039033171317342408","DeFi","Solana","Cross-currency exchange is fragmented and inefficient for global users.","Onchain FX rails for multinational currency exchange.","https://github.com/dasmac-com/dropset-alpha","https://www.youtube.com/@dasmac_com","Arena API team handles: alex_n_kahn","GitHub API public metadata visible; license=NOASSERTION","Likely scored for a large market and Solana performance fit.","Lisbon payment ideas need a narrow corridor and measurable settlement edge.","Generic FX app with no compliance or distribution wedge.","high","https://api.colosseum.org/api/project?slug=dropset&type=HACKATHON","2026-06-26"
"welikesports","Solana Frontier Hackathon 2026","top_25_winner","WeLikeSports","https://arena.colosseum.org/projects/explore/welikesports","WeLikeSports is building the next great fantasy sports platform.

A platform for creating and playing custom sports pools (survivor, brackets, pick’em). No house, no rake. Instead, the platform earns revenue from the interest on pooled funds. It’s a model aligned with the player, not against them.","Consumer Apps","Solana; stablecoins","Fantasy pool platforms take rake and limit custom pool design.","Custom fantasy pools monetize via interest on pooled funds.","https://github.com/WeLikeSports/wls_app","https://www.youtube.com/watch?v=02NsuZcko3Q","Arena API team handles: jakelynch, fozzy, axic","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for simple consumer loop plus transparent pool economics.","Lisbon consumer ideas need transparent funds flow and proof artifact.","Sports app where crypto is only deposits.","high","https://api.colosseum.org/api/project?slug=welikesports&type=HACKATHON","2026-06-26"
"odl-on-demand-liquidity","Solana Frontier Hackathon 2026","top_25_winner","ODL (On-Demand Liquidity)","https://arena.colosseum.org/projects/explore/odl-(on-demand-liquidity)","ODL is a RWA liquidator platform allowing liquidator funds to buy discounted RWAs and re-sell them to TradFi buyers initially focused on private equity, private credit, and tech/VC secondaries.","Real World Assets (RWA)","Solana","Illiquid private assets need buyers, discounting, and resale channels.","Liquidator funds buy discounted RWAs and resell to tradfi buyers.","https://github.com/Joseph-ODL/rwa-odl","https://youtu.be/88UeTrR8_gs","Arena API team handles: jt850601","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for credible RWA pain and market-maker style wedge.","Lisbon RWA ideas need distribution and compliance proof, not tokenization alone.","RWA without buyer path or legal/compliance story.","high","https://api.colosseum.org/api/project?slug=odl-(on-demand-liquidity)&type=HACKATHON","2026-06-26"
