source_url,source_quality,access_date,recheck_by,recheck_reason,owner
https://ethglobal.com/events/cannes2026,official/dynamic,2026-06-22,2026-07-21,"Prior event page can change or archive content.",TASK-001
https://ethglobal.com/events/cannes2026/prizes,official/dynamic,2026-06-22,2026-07-21,"Prize details can change or be reorganized.",TASK-001
https://ethglobal.com/showcase?events=cannes2026,official/dynamic,2026-06-22,2026-07-21,"Showcase pagination/order can change.",TASK-001
https://ethglobal.com/events/newyork2026,official/dynamic,2026-06-22,2026-07-21,"Prior event page can change or archive content.",TASK-002
https://ethglobal.com/events/newyork2026/prizes,official/dynamic,2026-06-22,2026-07-21,"Prize details can change or be reorganized.",TASK-002
https://ethglobal.com/showcase?events=newyork2026,official/dynamic,2026-06-22,2026-07-21,"Showcase pagination/order can change.",TASK-002
https://ethglobal.com/events/lisbon2026,official/dynamic,2026-06-22,2026-07-21,"Future event page will likely change before July 24.",TASK-003
https://ethglobal.com/events/lisbon2026/prizes,official/dynamic,2026-06-22,2026-07-21,"Prize requirements are current-event inputs.",TASK-003
https://ethglobal.com/events/lisbon2026/apply,official/dynamic,2026-06-22,2026-07-21,"Registration/event details may change.",TASK-003
https://ethglobal.com/showcase/dive-5hxbp,official/dynamic,2026-06-22,2026-07-21,"Project page can change; verify before publication.",TASK-004
https://ethglobal.com/showcase/veil-vpn-c643n,official/dynamic,2026-06-22,2026-07-21,"Project page can change; verify before publication.",TASK-004
https://ethglobal.com/showcase/enshell-6t95y,official/dynamic,2026-06-22,2026-07-21,"Project page can change; verify before publication.",TASK-004
https://ethglobal.com/showcase/proof-of-human-1cg2d,official/dynamic,2026-06-22,2026-07-21,"Project page can change; verify before publication.",TASK-004
https://ethglobal.com/showcase/nyx-prk3o,official/dynamic,2026-06-22,2026-07-21,"Project page can change; verify before publication.",TASK-004
https://ethglobal.com/showcase/agentranker-0mo6w,official/dynamic,2026-06-22,2026-07-21,"Project page can change; verify before publication.",TASK-004
https://ethglobal.com/showcase/azimuth-7w256,official/dynamic,2026-06-22,2026-07-21,"Project page can change; verify before publication.",TASK-004
https://ethglobal.com/showcase/clawback-vpmw2,official/dynamic,2026-06-22,2026-07-21,"Project page can change; verify before publication.",TASK-004
https://ethglobal.com/showcase/veryclear-vu8i7,official/dynamic,2026-06-22,2026-07-21,"Light project row; verify before publication.",TASK-001
https://ethglobal.com/showcase/smile-fictr,official/dynamic,2026-06-22,2026-07-21,"Light project row; verify before publication.",TASK-002
https://ethglobal.com/showcase/better-wallet-yvjdh,official/dynamic,2026-06-22,2026-07-21,"Light project row; verify before publication.",TASK-002
https://ethglobal.com/showcase/ballast-7jpyp,official/dynamic,2026-06-22,2026-07-21,"Light project row; verify before publication.",TASK-002
https://ethglobal.com/showcase/maki-564eg,official/dynamic,2026-06-22,2026-07-21,"Project page can change; finalist/winner enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/npmguard-aeihd,official/dynamic,2026-06-22,2026-07-21,"Project page can change; finalist/winner enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/paintglobal-v4pwo,official/dynamic,2026-06-22,2026-07-21,"Project page can change; finalist/winner enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/corpus-j7an5,official/dynamic,2026-06-22,2026-07-21,"Project page can change; finalist enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/defi-e9zii,official/dynamic,2026-06-22,2026-07-21,"Project page can change; finalist enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/evm-porst-kkcfo,official/dynamic,2026-06-22,2026-07-21,"Project page can change; finalist enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/opencompliance-b89x9,official/dynamic,2026-06-22,2026-07-21,"Project page can change; track-winner enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/sentinel-91nv5,official/dynamic,2026-06-22,2026-07-21,"Project page can change; track-winner enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/shawarma-orchestrate-rfyhe,official/dynamic,2026-06-22,2026-07-21,"Project page can change; track-winner enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/agentindex-psxxo,official/dynamic,2026-06-22,2026-07-21,"Project page can change; New York winner enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/agentrankr-xe2vj,official/dynamic,2026-06-22,2026-07-21,"Project page can change; New York winner enrichment should be rechecked.",TASK-007
https://ethglobal.com/showcase/carry-b4wcm,official/dynamic,2026-06-22,2026-07-21,"Project page can change; pattern row should be rechecked.",TASK-007
https://ethglobal.com/showcase/scoutxyz-rwueo,official/dynamic,2026-06-22,2026-07-21,"Project page can change; pattern row should be rechecked.",TASK-007
https://ethglobal.com/showcase/kickoff-aivy-studio-f6o10,official/dynamic,2026-06-22,2026-07-21,"Unresolved prize metadata; recheck official project page.",TASK-007
https://ethglobal.com/showcase/ensfromwei-m3nj7,official/dynamic,2026-06-22,2026-07-21,"Unresolved prize metadata; recheck official project page.",TASK-007
https://ethglobal.com/showcase/tap-tap-revolution-fnvdt,official/dynamic,2026-06-22,2026-07-21,"Unresolved prize metadata; recheck official project page.",TASK-007
https://ethglobal.com/showcase/preo-rg0m9,official/dynamic,2026-06-22,2026-07-21,"Unresolved prize metadata; recheck official project page.",TASK-007
https://x.com/ETHGlobal/status/2040805061899723200,official/social-dynamic,2026-06-22,2026-07-21,"Official social finalist list can be hard to access; verify with ETHGlobal if publishing.",TASK-007
https://x.com/ETHGlobal/status/2066247659661545564,official/social-dynamic,2026-06-22,2026-07-21,"Official social finalist list can be hard to access; verify with ETHGlobal if publishing.",TASK-007
https://github.com/worldcoin/agentkit,official/open-source,2026-06-22,2026-07-21,"AgentKit API and examples can change quickly before Lisbon.",TASK-008
https://docs.world.org/agents/agent-kit,official/dynamic,2026-06-22,2026-07-21,"AgentKit docs can change quickly before Lisbon.",TASK-008
https://docs.x402.org/introduction,official/open-standard,2026-06-22,2026-07-21,"x402 protocol docs are active and should be rechecked.",TASK-008
https://github.com/x402-foundation/x402,official/open-source,2026-06-22,2026-07-21,"x402 repo can change quickly.",TASK-008
https://eips.ethereum.org/EIPS/eip-8004,official/open-standard,2026-06-22,2026-07-21,"EIP status/details can change.",TASK-008
https://github.com/erc-8004/erc-8004-contracts,official/open-source,2026-06-22,2026-07-21,"Reference contracts can change.",TASK-008
https://developers.uniswap.org/docs/protocols/v4/concepts/hooks,official/dynamic,2026-06-22,2026-07-21,"Uniswap v4 hook docs can change.",TASK-008
https://github.com/Uniswap/v4-hooks-public,official/open-source,2026-06-22,2026-07-21,"Hook examples can change.",TASK-008
https://thegraph.com/docs/en/substreams/introduction/,official/dynamic,2026-06-22,2026-07-21,"Substreams docs can change.",TASK-008
https://docs.substreams.dev/,official/dynamic,2026-06-22,2026-07-21,"Substreams docs can change.",TASK-008
https://docs.0g.ai/,official/dynamic,2026-06-22,2026-07-21,"0G docs and product surfaces can change.",TASK-008
https://github.com/0glabs/0g-compute-ts-starter-kit,official/open-source,2026-06-22,2026-07-21,"0G starter kit can change.",TASK-008
https://docs.ens.domains/,official/dynamic,2026-06-22,2026-07-21,"ENS docs can change.",TASK-008
https://ens.domains/ensv2,official/dynamic,2026-06-22,2026-07-21,"ENSv2 material can change.",TASK-008
https://ens.domains/blog/post/ens-staying-on-ethereum,official/dynamic,2026-06-22,2026-07-21,"ENSv2 roadmap context should be rechecked.",TASK-008
https://github.com/1inch/aqua,official/open-source,2026-06-22,2026-07-21,"Aqua repo can change.",TASK-008
https://1inch.com/blog/post/aqua-developer-release,official/dynamic,2026-06-22,2026-07-21,"Aqua developer-release context should be rechecked.",TASK-008
https://www.yellow.org/,official/dynamic,2026-06-22,2026-07-21,"Yellow product/docs can change.",TASK-008
https://docs.yellow.org/whitepaper/,official/dynamic,2026-06-22,2026-07-21,"Yellow whitepaper can change.",TASK-008
https://hedera.com/learning/open-source-at-hedera,official/dynamic,2026-06-22,2026-07-21,"Hedera/Hiero open-source details can change.",TASK-008
https://docs.chain.link/oracle-platform/privacy-standard,official/dynamic,2026-06-22,2026-07-21,"Chainlink privacy standard docs can change.",TASK-008
https://docs.chain.link/cre/guides/workflow/using-confidential-http-client,official/dynamic,2026-06-22,2026-07-21,"CRE confidential HTTP docs can change.",TASK-008
https://docs.wal.app/,official/dynamic,2026-06-22,2026-07-21,"Walrus docs can change.",TASK-008
https://github.com/MystenLabs/walrus,official/open-source,2026-06-22,2026-07-21,"Walrus repo can change.",TASK-008
https://docs.ens.domains/ensip/25/,official/open-standard,2026-06-29,2026-07-21,"ENSIP agent-record details can change while agent standards mature.",TASK-010
https://docs.ens.domains/ensip/26/,official/open-standard,2026-06-29,2026-07-21,"ENSIP service-discovery details can change while agent standards mature.",TASK-010
https://eips.ethereum.org/EIPS/eip-4337,official/open-standard,2026-06-29,2026-07-21,"Account-abstraction details and ecosystem expectations can change.",TASK-010
https://eips.ethereum.org/EIPS/eip-7702,official/open-standard,2026-06-29,2026-07-21,"EIP-7702 wallet behavior and tooling expectations can change.",TASK-010
https://github.com/eth-infinitism/account-abstraction,official/open-source,2026-06-29,2026-07-21,"Reference implementation and examples can change quickly.",TASK-010
https://eips.ethereum.org/EIPS/eip-7683,official/open-standard,2026-06-29,2026-07-21,"Cross-chain intent standard details can change.",TASK-010
https://docs.across.to/guides/concepts/erc-7683,official/dynamic,2026-06-29,2026-07-21,"Across routing and settlement docs can change.",TASK-010
https://semaphore.pse.dev/,official/dynamic,2026-06-29,2026-07-21,"Semaphore docs and API guidance can change.",TASK-010
https://github.com/semaphore-protocol/semaphore,official/open-source,2026-06-29,2026-07-21,"Semaphore implementation and examples can change.",TASK-010
https://docs.sui.io/sui-stack/zklogin-integration/zklogin,official/dynamic,2026-06-29,2026-07-21,"Sui zkLogin integration guidance can change.",TASK-010
https://github.com/MystenLabs/sui,official/open-source,2026-06-29,2026-07-21,"Sui protocol implementation can change.",TASK-010
https://efdn.notion.site/The-Open-Intents-Framework-permissionless-cross-chain-interop-to-all-chains-29cd9895554181e2966fe6585980ca9b,official/dynamic,2026-07-06,2026-07-21,"OIF docs and repo links can change as the framework matures.",TASK-011
https://github.com/openintentsframework,official/open-source,2026-07-06,2026-07-21,"OIF repositories are active and should be rechecked before Lisbon.",TASK-011
https://eips.ethereum.org/EIPS/eip-7579,official/open-standard,2026-07-06,2026-07-21,"ERC status and details can change.",TASK-011
