event,sponsor,track_name,amount,placement,requirements,judging_signal,source_url,access_date
ETHGlobal Cannes 2026,World,Best use of Agent Kit,8000,1st-3rd,"Use World Agent Kit meaningfully for agentic experiences where World ID improves safety, fairness, or trust.","Human-backed agents and proof-of-human constraints.",https://ethglobal.com/events/cannes2026/prizes,2026-06-22
ETHGlobal Cannes 2026,World,Best use of World ID 4.0,8000,1st-3rd,"Use World ID 4.0 as a real constraint with backend or smart-contract proof validation.","Products that break without proof of human.",https://ethglobal.com/events/cannes2026/prizes,2026-06-22
ETHGlobal Cannes 2026,World,Best use of Minikit 2.0,4000,1st-3rd,"Build a Mini App with MiniKit 2.0 and integrate SDK commands.","World App UX connected to onchain activity.",https://ethglobal.com/events/cannes2026/prizes,2026-06-22
ETHGlobal Cannes 2026,0G,Best OpenClaw Agent on 0G,6000,1st-3rd,"Integrate OpenClaw or related agents with 0G infrastructure.","AI-native app using 0G compute/storage/chain.",https://ethglobal.com/events/cannes2026/prizes,2026-06-22
ETHGlobal Cannes 2026,0G,Best DeFi App on 0G,6000,1st-3rd,"Build an innovative DeFi application on 0G.","Autonomous, verifiable, economically useful AI-DeFi.",https://ethglobal.com/events/cannes2026/prizes,2026-06-22
ETHGlobal New York 2026,ENS,Best ENS Integration for AI Agents,4000,1st-2nd,"ENS must improve agent identity or discoverability; no hard-coded demo.","Agent identity/discovery with ENS.",https://ethglobal.com/events/newyork2026/prizes,2026-06-22
ETHGlobal New York 2026,ENS,Most Creative Use of ENS,4000,1st-2nd,"ENS should clearly improve the product; demo must be functional.","Creative identity, records, privacy, access, or profile use.",https://ethglobal.com/events/newyork2026/prizes,2026-06-22
ETHGlobal New York 2026,World,Track A AgentKit,7500,1st-3rd,"Use AgentKit meaningfully and implement a trial or initial usage mechanic gated by verified humans.","Human-backed agent product, not just registration.",https://ethglobal.com/events/newyork2026/prizes,2026-06-22
ETHGlobal New York 2026,World,Track B World ID,2500,1st-2nd,"Build an app where the product breaks without proof of human.","Scarce allocation, voting, anti-spam, or reputation.",https://ethglobal.com/events/newyork2026/prizes,2026-06-22
ETHGlobal Lisbon 2026,The Graph,Prize details pending,15000,TBD,"Sponsor amount is visible but track details are unpublished.","Do not target until requirements are published.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,World,Prize details pending,15000,TBD,"Sponsor amount is visible but track details are unpublished.","Do not assume prior World tracks carry over.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,Hedera,AI & Agentic Payments on Hedera,6000,up to 2 teams,"Execute at least one payment, token transfer, or financial operation on Hedera Testnet using specified agent/payment tooling.","Real agent-to-agent value flow and inspectable receipts.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,Hedera,Tokenization on Hedera,3000,up to 2 teams,"Create or manage HTS tokens on Hedera Testnet and demo a lifecycle operation.","Native token lifecycle and compliance controls.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,Hedera,No Solidity Allowed - Build with Hedera SDKs,3000,up to 3 teams,"Use the Hedera SDK and at least two native Hedera services with no Solidity contracts.","Coherent SDK-native application rather than API calls.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,Hedera,Cross-Chain Automation Hub,3000,up to 3 teams,"Use Hedera Schedule Service and Axelar GMP for an end-to-end onchain cross-chain action.","Production-ready automation with no centralized keeper.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,0G,Best AI Product on 0G,6000,1st-3rd,"Ship a working product using 0G Compute or Private Computer with proof of inference.","End-user product, private/verifiable inference, and real usage trajectory.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,0G,Best Infrastructure & Tooling on 0G,4500,up to 3 teams,"Ship reusable tooling plus at least one working example app or agent.","Builder-layer utility across 0G Compute, Storage, Chain, or Agentic ID.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,0G,Keep Building on 0G,4500,up to 3 teams,"Continuity only; link prior state, dated Lisbon changelog, and a What's next statement.","Meaningful progress, hardening, user readiness, and trajectory.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,Uniswap Foundation,Best Uniswap API Integration,7000,1st-3rd,"Use a valid Uniswap Developer Platform API key for core value execution and submit FEEDBACK.md plus the feedback form.","Real routing, trading, payments, liquidity, or agent coordination.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,Uniswap Foundation,Best Uniswap Stack Contribution,3000,1st-3rd,"Continuity only; extend the Uniswap open-source ecosystem and submit FEEDBACK.md plus the feedback form.","Substantive stack contribution with exact code pointers.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,Sui,Best app built on Sui,4000,up to 2 teams,"Build a new project during the event using the Sui stack meaningfully and deploy a working demo.","Depth and market viability over superficial integration.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
ETHGlobal Lisbon 2026,Sui,Best existing app integrating or porting the Sui stack,2000,TBD,"Continuity only; make Sui, Walrus, Seal, DeepBook, zkLogin, or Move core to an existing product.","Clear before/after and genuine core integration.",https://ethglobal.com/events/lisbon2026/prizes,2026-07-16
