source_id,source_url,publisher,accessed_at,event,track,claim,source_quality,confidence,status
DP001,https://ethglobal.com/events/lisbon2026/prizes,ETHGlobal,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,all,"Eight partners; prize pools; thirteen released tracks; The Graph and World pending; qualification requirements.",primary_official_dynamic,high,SUPERSEDED_BY_DP025
DP002,https://ethglobal.com/rules,ETHGlobal,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,global,"Classic work starts at kickoff; Continuity disclosure and substantive open-source delta; version history required.",primary_official_rules,high,CONFIRMED
DP003,https://ethglobal.com/events/lisbon2026/info/details,ETHGlobal,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,global,"Three-partner cap; July 26 09:00 WEST deadline; AI disclosure; demo and judging requirements.",primary_official_event_guide,high,CONFIRMED
DP004,https://github.com/1inch/aqua,1inch,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,Build an Aqua App,"Official Aqua repository implements virtual balances and ship/dock/pull/push primitives; HEAD recorded.",primary_official_repository,high,CONFIRMED
DP005,https://github.com/1inch/swap-vm-template,1inch,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,Build an Aqua App,"Official public starter includes compile/tests/local deployment and custom strategy example; HEAD recorded.",primary_official_starter,high,CONFIRMED
DP006,https://docs.hedera.com/hedera/core-concepts/scheduled-transaction,Hedera,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,AI Agentic Payments and No Solidity,"Schedules support TransferTransaction; expose schedule and scheduled transaction IDs; execute on signatures or expiry.",primary_official_protocol_docs,high,CONFIRMED
DP007,https://docs.hedera.com/hedera/sdks-and-apis/sdks/consensus-service,Hedera,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,No Solidity,"HCS topics sequence submitted messages and expose topic identifiers.",primary_official_protocol_docs,high,CONFIRMED
DP008,https://docs.hedera.com/hedera/sdks-and-apis/rest-api,Hedera,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,AI Agentic Payments,"Mirror REST exposes historical Testnet transaction/topic data for independent reconciliation.",primary_official_api_docs,high,CONFIRMED
DP009,https://registry.npmjs.org/@hashgraph%2fsdk,npm Registry,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,Hedera,"Stable @hashgraph/sdk version observed as 2.81.0.",official_package_registry,high,CONFIRMED
DP010,https://registry.npmjs.org/@hashgraph%2fhedera-agent-kit,npm Registry,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,Hedera,"Stable modular Agent Kit version observed as 4.0.0.",official_package_registry,high,CONFIRMED
DP011,https://docs.0g.ai/developer-hub/building-on-0g/compute-network/router/features/verifiable-execution,0G,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,0G Keep Building,"Current response verification surface supports independent verification; false or missing result must fail closed.",primary_official_protocol_docs,high,CONFIRMED
DP012,https://docs.0g.ai/developer-hub/building-on-0g/storage/sdk,0G,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,0G Keep Building,"Storage SDK exposes upload/root/readback proof surfaces.",primary_official_protocol_docs,high,CONFIRMED
DP013,https://docs.wal.app/docs/typescript-sdk/sdks,Mysten Labs and Walrus,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,Sui Best app,"Official Walrus TypeScript SDK selects network/package IDs; Seal is the data-security SDK.",primary_official_protocol_docs,high,CONFIRMED
DP014,https://docs.wal.app/docs/getting-started,Mysten Labs and Walrus,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,Sui Best app,"Testnet provides faucet SUI/WAL and can reset without warning.",primary_official_protocol_docs,high,CONFIRMED
DP015,https://developers.uniswap.org/hackathon-feedback,Uniswap Labs,2026-07-16T13:21:22Z,ETHGlobal Lisbon 2026,Uniswap API and Stack,"Exact mandatory feedback URL returned HTTP 404.",primary_official_broken_link,high,BLOCKED
DP016,https://ethglobal.com/showcase/dive-5hxbp,ETHGlobal and entrant,2026-07-16T13:21:22Z,ETHGlobal Cannes 2026,winner comparable,"DIVE mapped World uniqueness 0G compute/storage and Hedera consensus/value into one dispute loop.",official_showcase_self_reported,medium,CONFIRMED_AWARD_UNVERIFIED_RUNTIME
DP017,https://ethglobal.com/showcase/maki-564eg,ETHGlobal and entrant,2026-07-16T13:21:22Z,ETHGlobal Cannes 2026,finalist comparable,"Maki separated model intent from deterministic transaction construction and hardware signing.",official_showcase_self_reported,medium,CONFIRMED_FINALIST_UNVERIFIED_RUNTIME
DP018,https://ethglobal.com/showcase/clawback-vpmw2,ETHGlobal and entrant,2026-07-16T13:21:22Z,ETHGlobal New York 2026,winner comparable,"Clawback combined payment escrow dispute handling and ENS reputation.",official_showcase_self_reported,medium,CONFIRMED_AWARD_UNVERIFIED_RUNTIME
